"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","5","13","11","0","0","45.45","2","caught","1","v West Indies","Port of Spain","4 Jun 2011"
"2","32","40","19","5","0","168.42","2","stumped","2","v Australia","Rajkot","10 Oct 2013"
"3","30","35","28","5","0","107.14","2","caught","2","v Pakistan","Dhaka","21 Mar 2014"
"4","0","10","3","0","0","0.00","2","lbw","2","v West Indies","Dhaka","23 Mar 2014"
"5","1","11","6","0","0","16.66","2","bowled","2","v Bangladesh","Dhaka","28 Mar 2014"
"6","33","40","28","2","2","117.85","2","bowled","2","v England","Birmingham","7 Sep 2014"
"7","3","16","4","0","0","75.00","2","run out","1","v South Africa","Dharamsala","2 Oct 2015"
"8","11","19","12","2","0","91.66","2","lbw","1","v South Africa","Cuttack","5 Oct 2015"
"9","5","24","8","0","0","62.50","2","caught","1","v Australia","Adelaide","26 Jan 2016"
"10","42","46","32","3","2","131.25","2","caught","1","v Australia","Melbourne","29 Jan 2016"
"11","26","18","9","4","1","288.88","2","caught","2","v Australia","Sydney","31 Jan 2016"
"12","9","25","13","0","1","69.23","2","caught","1","v Sri Lanka","Pune","9 Feb 2016"
"13","51","-","25","7","2","204.00","2","caught","1","v Sri Lanka","Ranchi","12 Feb 2016"
"14","46*","-","46","5","1","100.00","2","not out","2","v Sri Lanka","Visakhapatnam","14 Feb 2016"
"15","2","6","4","0","0","50.00","2","bowled","1","v Bangladesh","Dhaka","24 Feb 2016"
"16","1","9","3","0","0","33.33","1","caught","2","v Sri Lanka","Dhaka","1 Mar 2016"
"17","16*","46","20","3","0","80.00","2","not out","2","v U.A.E.","Dhaka","3 Mar 2016"
"18","60","63","44","9","1","136.36","2","caught","2","v Bangladesh","Dhaka","6 Mar 2016"
"19","1","-","3","0","0","33.33","2","lbw","2","v New Zealand","Nagpur","15 Mar 2016"
"20","6","24","15","1","0","40.00","2","bowled","2","v Pakistan","Kolkata","19 Mar 2016"
"21","23","33","22","2","1","104.54","2","lbw","1","v Bangladesh","Bengaluru","23 Mar 2016"
"22","13","16","12","1","1","108.33","2","caught","2","v Australia","Mohali","27 Mar 2016"
"23","23","-","12","5","0","191.66","2","run out","1","v West Indies","Kingston","9 Jul 2017"
"24","15*","25","12","3","0","125.00","2","not out","2","v Australia","Ranchi","7 Oct 2017"
"25","2","25","6","0","0","33.33","2","caught","1","v Australia","Guwahati","10 Oct 2017"
"26","80","68","52","10","2","153.84","2","caught","1","v New Zealand","Delhi","1 Nov 2017"
"27","1","6","4","0","0","25.00","2","bowled","2","v New Zealand","Rajkot","4 Nov 2017"
"28","6","9","6","1","0","100.00","2","caught","1","v New Zealand","Thiruvananthapuram","7 Nov 2017"
"29","72","69","39","10","2","184.61","2","caught","1","v South Africa","Johannesburg","18 Feb 2018"
"30","24","21","14","3","2","171.42","1","caught","1","v South Africa","Centurion","21 Feb 2018"
"31","47","69","40","3","0","117.50","2","run out","1","v South Africa","Cape Town","24 Feb 2018"
"32","90","-","49","6","6","183.67","2","caught","1","v Sri Lanka","Colombo (RPS)","6 Mar 2018"
"33","55","-","43","5","2","127.90","2","caught","2","v Bangladesh","Colombo (RPS)","8 Mar 2018"
"34","8","-","10","1","0","80.00","2","caught","2","v Sri Lanka","Colombo (RPS)","12 Mar 2018"
"35","35","-","27","5","1","129.62","2","bowled","1","v Bangladesh","Colombo (RPS)","14 Mar 2018"
"36","10","-","7","0","1","142.85","1","caught","2","v Bangladesh","Colombo (RPS)","18 Mar 2018"
"37","74","65","45","5","5","164.44","2","caught","1","v Ireland","Dublin (Malahide)","27 Jun 2018"
"38","4","-","4","1","0","100.00","1","bowled","2","v England","Manchester","3 Jul 2018"
"39","10","-","12","1","0","83.33","2","run out","1","v England","Cardiff","6 Jul 2018"
"40","5","-","3","1","0","166.66","2","caught","2","v England","Bristol","8 Jul 2018"
"41","3","-","8","0","0","37.50","2","bowled","2","v West Indies","Kolkata","4 Nov 2018"
"42","43","67","41","3","0","104.87","2","caught","1","v West Indies","Lucknow","6 Nov 2018"
"43","92","-","62","10","2","148.38","1","caught","2","v West Indies","Chennai","11 Nov 2018"
"44","76","-","42","10","2","180.95","2","caught","2","v Australia","Brisbane","21 Nov 2018"
