"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","0","-","1","0","0","0.00","1","bowled","2","v Zimbabwe","Harare","18 Jun 2016"
"2","47*","56","40","2","2","117.50","1","not out","2","v Zimbabwe","Harare","20 Jun 2016"
"3","22","21","20","3","1","110.00","1","bowled","1","v Zimbabwe","Harare","22 Jun 2016"
"4","110*","84","51","12","5","215.68","4","not out","2","v West Indies","Lauderhill","27 Aug 2016"
"5","DNB","-","-","-","-","-","-","-","2","v West Indies","Lauderhill","28 Aug 2016"
"6","8","21","9","1","0","88.88","2","caught","1","v England","Kanpur","26 Jan 2017"
"7","71","75","47","6","2","151.06","2","caught","1","v England","Nagpur","29 Jan 2017"
"8","22","39","18","2","1","122.22","2","bowled","1","v England","Bengaluru","1 Feb 2017"
"9","24","-","18","3","0","133.33","2","caught","2","v Sri Lanka","Colombo (RPS)","6 Sep 2017"
"10","61","68","48","7","1","127.08","2","bowled","1","v Sri Lanka","Cuttack","20 Dec 2017"
"11","89","94","49","5","8","181.63","2","caught","1","v Sri Lanka","Indore","22 Dec 2017"
"12","4","14","9","0","0","44.44","2","lbw","2","v Sri Lanka","Wankhede","24 Dec 2017"
"13","18","-","17","1","0","105.88","3","hit wicket","2","v Sri Lanka","Colombo (RPS)","12 Mar 2018"
"14","DNB","-","-","-","-","-","-","-","1","v Bangladesh","Colombo (RPS)","14 Mar 2018"
"15","24","-","14","2","1","171.42","4","caught","2","v Bangladesh","Colombo (RPS)","18 Mar 2018"
"16","70","-","36","3","6","194.44","1","caught","1","v Ireland","Dublin (Malahide)","29 Jun 2018"
"17","101*","-","54","10","5","187.03","3","not out","2","v England","Manchester","3 Jul 2018"
"18","6","-","8","0","0","75.00","3","bowled","1","v England","Cardiff","6 Jul 2018"
"19","19","-","10","1","2","190.00","3","caught","2","v England","Bristol","8 Jul 2018"
"20","16","-","22","2","0","72.72","3","caught","2","v West Indies","Eden Gardens","4 Nov 2018"
"21","26*","20","14","2","1","185.71","4","not out","1","v West Indies","Lucknow","6 Nov 2018"
"22","17","-","10","4","0","170.00","3","caught","2","v West Indies","Chennai","11 Nov 2018"
"23","13","-","12","1","0","108.33","3","stumped","2","v Australia","Brisbane","21 Nov 2018"
"24","TDNB","-","-","-","-","-","-","-","-","v Australia","Melbourne","23 Nov 2018"
"25","14","-","20","0","1","70.00","4","caught","2","v Australia","Sydney","25 Nov 2018"
"26","50","56","36","6","1","138.88","2","caught","1","v Australia","Visakhapatnam","24 Feb 2019"
"27","47","36","26","3","4","180.76","1","caught","1","v Australia","Bengaluru","27 Feb 2019"
"28","20","-","18","2","1","111.11","1","caught","2","v West Indies","Providence","6 Aug 2019"
"29","15","-","17","2","0","88.23","3","caught","1","v Bangladesh","Delhi","3 Nov 2019"
"30","8*","-","11","0","0","72.72","3","not out","2","v Bangladesh","Rajkot","7 Nov 2019"
"31","52","-","35","7","0","148.57","3","caught","1","v Bangladesh","Nagpur","10 Nov 2019"
"32","62","-","40","5","4","155.00","2","caught","2","v West Indies","Hyderabad","6 Dec 2019"
"33","11","-","11","1","0","100.00","2","caught","1","v West Indies","Thiruvananthapuram","8 Dec 2019"
"34","91","-","56","9","4","162.50","2","caught","1","v West Indies","Wankhede","11 Dec 2019"
"35","TDNB","-","-","-","-","-","-","-","-","v Sri Lanka","Guwahati","5 Jan 2020"
"36","45","-","32","6","0","140.62","1","bowled","2","v Sri Lanka","Indore","7 Jan 2020"
"37","54","-","36","5","1","150.00","1","stumped","1","v Sri Lanka","Pune","10 Jan 2020"
"38","56","-","27","4","3","207.40","2","caught","2","v New Zealand","Auckland","24 Jan 2020"
"39","57*","80","50","3","2","114.00","2","not out","2","v New Zealand","Auckland","26 Jan 2020"
"40","27","40","19","2","1","142.10","2","caught","1","v New Zealand","Hamilton","29 Jan 2020"
"41","39","49","26","3","2","150.00","1","caught","1","v New Zealand","Wellington","31 Jan 2020"
"42","45","-","33","4","2","136.36","1","caught","1","v New Zealand","Mount Maunganui","2 Feb 2020"
