"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","DNB","-","-","-","-","-","-","-","1","v England","Durban","19 Sep 2007"
"2","50*","52","40","7","2","125.00","5","not out","1","v South Africa","Durban","20 Sep 2007"
"3","8*","11","5","0","1","160.00","6","not out","1","v Australia","Durban","22 Sep 2007"
"4","30*","22","16","2","1","187.50","6","not out","1","v Pakistan","Johannesburg","24 Sep 2007"
"5","DNB","-","-","-","-","-","-","-","2","v Australia","Mumbai (BS)","20 Oct 2007"
"6","8","15","8","1","0","100.00","5","bowled","1","v Australia","Melbourne","1 Feb 2008"
"7","4","13","11","0","0","36.36","6","caught","2","v Sri Lanka","Colombo (RPS)","10 Feb 2009"
"8","7","9","7","0","1","100.00","4","caught","1","v New Zealand","Christchurch","25 Feb 2009"
"9","36","34","23","3","2","156.52","2","bowled","1","v Bangladesh","Nottingham","6 Jun 2009"
"10","52*","61","45","4","1","115.55","2","not out","2","v Ireland","Nottingham","10 Jun 2009"
"11","5","6","3","1","0","166.66","2","caught","1","v West Indies","Lord's","12 Jun 2009"
"12","9","7","8","1","0","112.50","2","bowled","2","v England","Lord's","14 Jun 2009"
"13","29","39","28","3","0","103.57","2","caught","2","v South Africa","Nottingham","16 Jun 2009"
"14","3","-","4","0","0","75.00","5","run out","2","v Sri Lanka","Nagpur","9 Dec 2009"
"15","79*","65","46","4","6","171.73","4","not out","2","v Australia","Bridgetown","7 May 2010"
"16","5","10","8","1","0","62.50","4","caught","2","v West Indies","Bridgetown","9 May 2010"
"17","DNB","-","-","-","-","-","-","-","1","v Sri Lanka","Gros Islet","11 May 2010"
"18","10","22","15","1","0","66.66","4","stumped","2","v Zimbabwe","Harare","12 Jun 2010"
"19","0*","1","0","0","0","-","5","not out","2","v Zimbabwe","Harare","13 Jun 2010"
"20","53","38","34","5","2","155.88","3","caught","1","v South Africa","Durban","9 Jan 2011"
"21","26","33","23","0","2","113.04","6","bowled","1","v West Indies","Port of Spain","4 Jun 2011"
